horizon,fold,model,feature,normalized_gain_importance
50,5,lightgbm_classifier,ofi_l1_sum_100,0.037776280927443395
50,5,lightgbm_classifier,add_pressure_100,0.017433563606567136
50,5,lightgbm_classifier,cancel_pressure_100,0.01416198236994505
50,5,lightgbm_classifier,trade_pressure_100,0.027166783764610913
50,5,lightgbm_classifier,rolling_volatility_100,0.04823240913786353
50,5,lightgbm_regressor,spread_bps,0.08114227439692687
50,5,lightgbm_regressor,queue_imbalance_l1,0.028684312613194894
50,5,lightgbm_regressor,microprice_deviation_bps,0.0207145491208993
50,5,lightgbm_regressor,depth_imbalance_1,0.006060084108632686
50,5,lightgbm_regressor,depth_imbalance_5,0.01807690693575327
50,5,lightgbm_regressor,depth_imbalance_10,0.035020527750972315
50,5,lightgbm_regressor,ofi_l1,0.0027750204423783367
50,5,lightgbm_regressor,event_interarrival_us,0.0
50,5,lightgbm_regressor,is_submission,0.0
50,5,lightgbm_regressor,is_partial_cancel,0.0
50,5,lightgbm_regressor,is_deletion,0.0006527955025128796
50,5,lightgbm_regressor,is_visible_execution,0.014594876452934254
50,5,lightgbm_regressor,is_hidden_execution,0.0007555639283808828
50,5,lightgbm_regressor,seconds_from_open,0.04658359414839552
50,5,lightgbm_regressor,session_fraction,0.0072674703683283295
50,5,lightgbm_regressor,time_sin,0.05130613179386333
50,5,lightgbm_regressor,time_cos,0.0519795155832367
50,5,lightgbm_regressor,event_intensity_20,0.007464857440845139
50,5,lightgbm_regressor,ofi_l1_sum_20,0.013797543178243343
50,5,lightgbm_regressor,add_pressure_20,0.0025550415703677583
50,5,lightgbm_regressor,cancel_pressure_20,0.0018696513622535333
50,5,lightgbm_regressor,trade_pressure_20,0.15214244292623275
50,5,lightgbm_regressor,rolling_volatility_20,0.04034586819379649
50,5,lightgbm_regressor,event_intensity_50,0.018613745014167796
50,5,lightgbm_regressor,ofi_l1_sum_50,0.03922108916951802
50,5,lightgbm_regressor,add_pressure_50,0.01011715957221436
50,5,lightgbm_regressor,cancel_pressure_50,0.0034672939353938884
50,5,lightgbm_regressor,trade_pressure_50,0.12324839827874445
50,5,lightgbm_regressor,rolling_volatility_50,0.034106470797990625
50,5,lightgbm_regressor,event_intensity_100,0.02805689582285417
50,5,lightgbm_regressor,ofi_l1_sum_100,0.045574816049948556
50,5,lightgbm_regressor,add_pressure_100,0.019702262657597745
50,5,lightgbm_regressor,cancel_pressure_100,0.015373226489295509
50,5,lightgbm_regressor,trade_pressure_100,0.025284013042081714
50,5,lightgbm_regressor,rolling_volatility_100,0.05344560135204458
