horizon,fold,confidence_threshold,cost_fraction,active_signals,active_signal_fraction,gross_return_bps,full_estimated_cost_bps,applied_cost_bps,net_return_bps,mean_gross_return_active_bps,mean_full_estimated_cost_active_bps,mean_applied_cost_active_bps,mean_net_return_active_bps,active_hit_rate,mean_absolute_score_active,break_even_cost_fraction,max_drawdown_bps,sampled_observations
10,2,0.1,0.5,1425,0.3559830127404447,133.41321643610016,3600.9961248706186,1800.4980624353093,-1667.0848459992094,0.0936233097797194,2.52701482447061,1.263507412235305,-1.1698841024555855,0.423859649122807,0.19024154575355057,0.037048975286218505,-1667.0848459992067,4003
10,2,0.1,0.75,1425,0.3559830127404447,133.41321643610016,3600.9961248706186,2700.7470936529644,-2567.3338772168636,0.0936233097797194,2.52701482447061,1.895261118352957,-1.8016378085732383,0.423859649122807,0.19024154575355057,0.037048975286218505,-2567.3338772168636,4003
10,2,0.1,1.0,1425,0.3559830127404447,133.41321643610016,3600.9961248706186,3600.9961248706186,-3467.5829084345187,0.0936233097797194,2.52701482447061,2.52701482447061,-2.43339151469089,0.423859649122807,0.19024154575355057,0.037048975286218505,-3467.5829084345146,4003
10,2,0.2,0.0,431,0.10766924806395203,52.86438230072466,1005.7551004119516,0.0,52.86438230072466,0.12265517935202937,2.333538516037011,0.0,0.12265517935202937,0.46867749419953597,0.3054142787296195,0.0525618833840084,-2.3973138624100443,4003
10,2,0.2,0.25,431,0.10766924806395203,52.86438230072466,1005.7551004119516,251.4387751029879,-198.57439280226328,0.12265517935202937,2.333538516037011,0.5833846290092527,-0.4607294496572234,0.46867749419953597,0.3054142787296195,0.0525618833840084,-198.5743928022634,4003
10,2,0.2,0.5,431,0.10766924806395203,52.86438230072466,1005.7551004119516,502.8775502059758,-450.0131679052512,0.12265517935202937,2.333538516037011,1.1667692580185054,-1.044114078666476,0.46867749419953597,0.3054142787296195,0.0525618833840084,-450.0131679052513,4003
10,2,0.2,0.75,431,0.10766924806395203,52.86438230072466,1005.7551004119516,754.3163253089638,-701.451943008239,0.12265517935202937,2.333538516037011,1.7501538870277582,-1.6274987076757288,0.46867749419953597,0.3054142787296195,0.0525618833840084,-701.4519430082396,4003
10,2,0.2,1.0,431,0.10766924806395203,52.86438230072466,1005.7551004119516,1005.7551004119516,-952.890718111227,0.12265517935202937,2.333538516037011,2.333538516037011,-2.2108833366849816,0.46867749419953597,0.3054142787296195,0.0525618833840084,-952.8907181112274,4003
10,2,0.3,0.0,162,0.040469647764176865,15.589914920940418,370.13203928246867,0.0,15.589914920940418,0.09623404272185443,2.28476567458314,0.0,0.09623404272185443,0.42592592592592593,0.418956885828599,0.04211987417020895,-1.5409346569084104,4003
10,2,0.3,0.25,162,0.040469647764176865,15.589914920940418,370.13203928246867,92.53300982061717,-76.94309489967677,0.09623404272185443,2.28476567458314,0.571191418645785,-0.47495737592393067,0.42592592592592593,0.418956885828599,0.04211987417020895,-77.00722578199012,4003
10,2,0.3,0.5,162,0.040469647764176865,15.589914920940418,370.13203928246867,185.06601964123433,-169.47610472029393,0.09623404272185443,2.28476567458314,1.14238283729157,-1.0461487945697159,0.42592592592592593,0.418956885828599,0.04211987417020895,-169.47610472029393,4003
10,2,0.3,0.75,162,0.040469647764176865,15.589914920940418,370.13203928246867,277.59902946185156,-262.0091145409111,0.09623404272185443,2.28476567458314,1.713574255937355,-1.6173402132155008,0.42592592592592593,0.418956885828599,0.04211987417020895,-262.0091145409111,4003
10,2,0.3,1.0,162,0.040469647764176865,15.589914920940418,370.13203928246867,370.13203928246867,-354.5421243615283,0.09623404272185443,2.28476567458314,2.28476567458314,-2.1885316318612857,0.42592592592592593,0.418956885828599,0.04211987417020895,-354.54212436152807,4003
